publisher,test_doi,crossref_link_no_token,download_no_token,crossref_link_with_token,download_with_token,resource_redirect
AIP Publishing,http://dx.doi.org/10.1063/1.4946904,,,,,
American Chemical Society,http://dx.doi.org/10.1021/acs.jpcb.6b01214,,,,,
eLife,http://dx.doi.org/10.7554/eLife.12717,,,,,
Elsevier,http://dx.doi.org/10.1016/j.jmp.2015.10.004,,,,,
Hindawi,http://dx.doi.org/10.1155/2016/4013052,,,,,
IEEE,http://dx.doi.org/10.1109/COMST.2015.2444095,,,,,
Pensoft Publishers,http://dx.doi.org/10.3897/BDJ.4.e8661,,,,,
SAGE,http://dx.doi.org/10.1177/0956797616629403,,,,,
Walter de Gruyter,http://dx.doi.org/10.1515/cercles-2016-0002,,,,,
Wiley,http://dx.doi.org/10.1111/bmsp.12045,,,,,
Ovid technologies / Wolters Kluwer Health,http://dx.doi.org/10.1097/JOM.0000000000000276,,,,,
Taylor & Francis (Informa publishing),http://dx.doi.org/10.1080/00273171.2015.1071705,,,,,
Springer,http://dx.doi.org/10.3758/s13428-015-0605-0,,,,,
