date_checked,publisher,url,open_access,contact,whois,terms_conditions_url,crossref_tdm,crossref_tdm_clickthrough,copyright_law_country,download_research,terms_conditions_scrape,nc_terms_conditions_scrape,terms_conditions_spider,nc_terms_conditions_spider,tdm_policy,api,api_free,lit_dump,lit_dump_free,lit_dump_policy,noteworthy_text
20160601,AIP Publishing,http://scitation.aip.org/content/aip,0,rights@aip.org,jbarodin@aip.org,http://scitation.aip.org/termsconditions,1,0,US+,1,0,0,1,1,NA,1,,NA,NA,NA,"AIP Publishing shall not be required to distribute, and User shall not redistribute, Scitation or any Online Publication included therein to a country where the export thereof is prohibited by U.S. law or regulation."
20160601,American Chemical Society,http://pubs.acs.org/,0,help@acs.org,updates@acs.org,http://www.acs.org/content/acs/en/terms.html,1,0,US+,0,0,0,0,0,NA,1,,NA,NA,NA,"You do not have to submit anything, but if you choose to submit something (including any user-generated content, ideas, concepts, techniques and data, you must grant, and you actually grant by agreeing to these Terms of Use, a non-exclusive, irrevocable, worldwide, perpetual, unlimited, assignable, sublicenseable, fully paid up, and royalty-free right to ACS to copy, prepare derivative works of, improve, distribute, publish, remove, retain, add, and use and commercialize, in any way now known or in the future discovered, anything that you submit to the ACS, without any further consent, notice and/or compensation to you or any third parties."
20160601,American Psychological Association,http://www.apa.org/pubs/journals/,0,permissions@apa.org,INTERNET-TECH@APA.ORG,http://psycnet.apa.org/index.cfm?fa=main.termsAndConditions,0,NA,NA,NA,NA,NA,NA,NA,http://www.apa.org/pubs/psycinfodatasolutions/index.aspx,0,0,NA,NA,NA,Cannot access the terms of use @ PsycNET
20160601,BMJ,http://journals.bmj.com/,0,support@bmj.com,atownsend@bmjgroup.com,http://www.bmj.com/company/legal-information/,0,NA,ENG+,1,0,0,1,1,http://www.bmj.com/company/legal-information/terms-conditions/legal-information/tdm-licencepolicy/,1,1,NA,NA,NA,
20160601,Brill Academic Publishers,http://www.brill.com/products/journals,0,http://www.brill.com/about/contact,website@brill.nl,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No T&C!
20160601,Cambridge University Press,http://journals.cambridge.org,0,journals@cambridge.org,postmaster@CUP.CAM.AC.UK,http://journals.cambridge.org/action/terms?sessionId=2304941CA9F5D4809CBE98BBA0AE49EF.journals,0,NA,ENG,1,0,0,1,1,NA,NA,NA,NA,NA,NA,Metadata + abstract API httprchive available as well http://journals.cambridge.org/action/stream?pageId=6508&level=2&sessionId=7EB160BCC3547A6FFE9BEE75850E0B6D.journals://journals.cambridge.org/action/stream?pageId=9048&level=2&sessionId=7EB160BCC3547A6FFE9BEE75850E0B6D.journals  A
20160601,eLife,https://elifesciences.org/,1,staff@elifesciences.org,jy9ya9gg2s3@networksolutionsprivateregistration.com,https://elifesciences.org/terms-and-conditions-of-use,1,0,NA,1,1,1,1,1,NA,1,,https://github.com/elifesciences/elife-article-xml,1,CC-BY,
20160601,Elsevier,https://www.elsevier.com/,0,http://www.sciencedirect.com/science/contactus,domainsupport@elsevier.com,https://www.elsevier.com/legal/elsevier-website-terms-and-conditions,1,1,NL+,1,0,0,0,0,http://dev.elsevier.com/tdm_service_agreement.html,1,0,NA,NA,NA,"Export Controls: Where the Service, its Content or any Submission consist of software that is subject to US, EU or any other Export Controls, you represent and warrant that (i) you are not located in a country that is subject to a U.S. Government, EU  or other embargo, or that has been designated by the U.S. Government or the EU as a “terrorist supporting” country; and (ii) you are not listed on any U.S. Government, EU or any other list of prohibited or restricted parties.; You may not use any robots, spiders, crawlers or other automated downloading programs, algorithms or devices, or any similar or equivalent manual process, to: (i) continuously and automatically search, scrape, extract, deep link or index any Content; (ii) harvest personal information from the Services for purposes of sending unsolicited or unauthorized material; or (iii) cause disruption to the working of the Services or any other person’s use of the Services."
20160601,Emerald Group Publishing,http://www.emeraldgrouppublishing.com/,0,support@emeraldinsight.com,itsupport@emeraldinsight.com,http://www.emeraldgrouppublishing.com/about/policies/copyright.htm,0,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,
20160601,Hindawi,http://www.hindawi.com/,1,hindawi@hindawi.com,ahmed.hindawi@HINDAWI.COM,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,,http://www.hindawi.com/corpus/,1,NA,Simply no T&C!
