publisher,url,open_access,data_dump,data_dump_unrestricted,api,api_unrestricted,policy
eLife,https://elifesciences.org/,,,,,,
Elsevier,https://www.elsevier.com/,,,,,,
Emerald Group Publishing,http://www.emeraldgrouppublishing.com/,,,,,,
Hindawi,http://www.hindawi.com/,,http://www.hindawi.com/corpus/,,,,
MDPI,http://www.mdpi.com/,,http://www.mdpi.com/librarians#corpus,,,,
Nature Publishing Group,http://www.nature.com/index.html,,,,,,
Oxford University Press,https://global.oup.com/academic/?cc=nl&lang=en&,,,,,,
Palgrave Macmillan,http://www.palgrave-journals.com/pal/index.html,,,,,,
PeerJ,https://peerj.com/,,,,,,
Pensoft Publishers,http://www.pensoft.net/,,,,,,
PLOS,https://www.plos.org/,,,,,,
Routledge,https://www.routledge.com/,,,,,,
SAGE,http://online.sagepub.com/,,,,,,
Springer,https://www.springer.com/,,,,,,
Taylor & Francis,http://www.tandfonline.com/,,,,,,
Ubiquity Press,http://www.ubiquitypress.com/,,,,,,
Wiley,http://onlinelibrary.wiley.com/,,,,,,
Wolters Kluwer,http://journals.lww.com/pages/default.aspx,,,,,,
American Psychological Association,http://www.apa.org/pubs/journals/,,,,,,
SciELO,http://scielo.org/,,,,,,
Open Library of Humanities,https://www.openlibhums.org/,,,,,,
Royal Society,https://royalsociety.org/journals/,,,,,,
